식당(ID),식당명,지점명,지역명,어워드정보설명,(RTI)지수,온라인화진행여부,수용태세지수,인기도,트립어드바이저평점,씨트립평점,네이버평점
12420,하늘찬,,강서구,모범음식점(2014),1.0501897,N,0.214,,,,5
12588,파티대통령,,광진구,모범음식점(2009),4.1881019,Y,0.3,0.03,,,5
13586,오늘 한판,,금천구,모범음식점(2009),4.2519173,Y,0.49,0.2,,,5
14203,원조궁중추어탕,,강서구,"모범음식점(2009),안심식당(2020)",4.1590025,N,0.264,0.09,,,5
15320,최네집부대찌개,,성북구,모범음식점(2008),1.0501897,N,0.264,,,,5
15339,온라이프다이닝,NC강서점,강서구,"모범음식점(2020),안심식당(2020)",1.226295,N,0.214,,,,5
86478,이문동떡볶이,,동대문구,안심식당(2021),1.0501897,N,0.236,,,,5
90829,토종순대국,,광진구,안심식당(2020),4.0946389,N,0.202,0.07,,,5
97828,쿠타니,,강서구,"모범음식점(2021),안심식당(2021)",4.3411348,N,0.205,0.33,,,5
159837,라뜰리에 꼼때,,종로구,블루리본(2021),4.3718488,N,0.267,0.33,,,5
121010,레스토랑 온,,강남구,"미쉐린 가이드(2021),미쉐린 가이드(2022),블루리본(2021)",4.4463731,N,0.269,0.33,,,4.98
124295,미토우,,강남구,"미쉐린 가이드(2021),미쉐린 가이드(2022)",4.2287712,Y,0.265,0.33,,,4.94
785426,엉터리해장국,신월5동점,양천구,모범음식점(2005),4.898245,N,0.17,,,,4.94
128833,레스토랑 오와이,,강남구,미쉐린 가이드(2022),4.2292287,N,0.218,0.33,,,4.92
83173,대팔이네,,강동구,안심식당(2021),4.2433558,Y,0.252,0.33,,,4.91
100693,아필립,,마포구,블루리본(2021),4.3428095,N,0.237,0.33,,,4.91
126304,스시토와,,마포구,블루리본(2021),4.2158047,Y,0.254,0.33,,,4.9
86105,이미 커피 로스터스,,구로구,블루리본(2021),4.1956191,Y,0.252,0.33,,,4.89
129097,시오,,강남구,미쉐린 가이드(2022),4.3859072,N,0.283,0.33,,,4.89
14465,익스퍼2,,강서구,"모범음식점(2019),안심식당(2020)",4.2726511,N,0.265,0.33,,,4.87
14693,감동식당,,노원구,모범음식점(2020),4.0456577,N,0.311,0.33,,,4.87
162935,무심헌,,종로구,블루리본(2021),4.1926694,N,0.237,0.33,,,4.87
68367,윤가네식당,,동대문구,안심식당(2021),3.773019,N,0.202,0.01,,,4.86
13191,돈구어,,성동구,모범음식점(2017),4.2856047,Y,0.346,0.33,,,4.85
55399,버섯잔치집,본점,강동구,안심식당(2020),4.8068767,Y,0.323,0.33,,,4.85
125915,쿠시카와,,강남구,"미쉐린 가이드(2021),미쉐린 가이드(2022)",4.1165378,Y,0.268,0.33,,,4.85
127565,에빠뉘,,강남구,"미쉐린 가이드(2021),미쉐린 가이드(2022)",4.1793976,N,0.201,0.33,,,4.85
42406,모모야마,,중구,"미쉐린 가이드(2021),미쉐린 가이드(2022),블루리본(2021)",4.3631889,Y,0.268,0.33,4.5,,4.84
107215,비스트로홈,,성북구,안심식당(2021),4.2483462,Y,0.236,0.33,,,4.84
145064,타이선,,은평구,안심식당(2021),4.3528789,N,0.219,0.33,,,4.84
126791,무니,,강남구,"미쉐린 가이드(2021),미쉐린 가이드(2022)",4.3125615,N,0.284,0.33,,,4.83
87144,카피유즈,,동대문구,안심식당(2021),4.2745653,N,0.267,0.32,,,4.82
115476,윤서울,,마포구,"미쉐린 가이드(2022),블루리본(2021)",4.2344478,N,0.217,0.33,,,4.82
119101,잇츠 카페플러스,,서초구,안심식당(2020),4.3052864,N,0.25,0.07,,,4.82
134361,복이레,,은평구,안심식당(2020),4.245535,N,0.247,0.17,,,4.82
152899,물랑,,종로구,"미쉐린 가이드(2022),블루리본(2021)",4.169498,N,0.236,0.33,,,4.82
12462,부산갈비,,용산구,모범음식점(2001),4.3411348,N,0.295,0.33,,,4.81
12913,코리아푸드스토리,,동대문구,모범음식점(2006),4.1002208,Y,0.374,0.16,,,4.81
35464,무궁화,롯데호텔소공점,중구,"미쉐린 가이드(2021),미쉐린 가이드(2022),블루리본(2021)",4.3157218,N,0.214,0.33,,,4.81
43641,롯데호텔서울 도림,,중구,"미쉐린 가이드(2021),미쉐린 가이드(2022),블루리본(2021)",4.3294292,N,0.264,0.33,4.5,,4.81
92502,타마유라,,서초구,안심식당(2020),4.335129,N,0.232,0.33,,,4.81
92822,루즈페퍼,,강서구,블루리본(2021),4.2227574,Y,0.284,0.33,,,4.81
114333,숙수도가,,성북구,"미쉐린 가이드(2021),미쉐린 가이드(2022)",4.3906638,N,0.284,0.33,,,4.81
767907,탐라도야지,본점,서초구,모범음식점(2003),4.4741951,N,0.337,0.33,4.5,,4.81
13275,신촌서연황소곱창,,송파구,모범음식점(2014),4.3126429,N,0.264,0.33,,,4.8
13958,동굴과화로구이,,은평구,모범음식점(2011),4.3740306,Y,0.31,0.33,,,4.8
51493,꿀꿀 진순대국,,강동구,안심식당(2020),4.2695905,Y,0.27,0.33,,,4.8
111675,오우치,,서초구,블루리본(2021),4.4166528,N,0.266,0.33,,,4.8
121411,브렛피자,,마포구,블루리본(2021),4.2216092,N,0.217,0.33,,,4.8
14704,고깃집왕고을,,성동구,모범음식점(2019),4.4207514,N,0.313,0.33,,,4.79
14806,원복정,,광진구,"모범음식점(2020),안심식당(2020)",1.2451732,N,0.248,,,,4.79
123111,바람길,,마포구,안심식당(2020),4.2597483,Y,0.24,0.33,,,4.79
123731,무오키,,강남구,"미쉐린 가이드(2021),미쉐린 가이드(2022),블루리본(2021)",4.4844831,N,0.218,0.33,4.5,,4.79
129834,이타닉가든,조선팰리스강남점,강남구,미쉐린 가이드(2022),4.1445992,N,0.152,0.33,,,4.79
141312,나마스테,동묘점,종로구,블루리본(2021),4.2509815,N,0.258,0.33,5,3.3,4.79
14820,신안촌,경희궁점,종로구,모범음식점(2018),4.635719,N,0.348,0.27,,,4.78
73948,송하정 스시,,강동구,블루리본(2021),4.2504573,N,0.221,0.33,,,4.78
94430,휴온,,광진구,안심식당(2020),4.3657139,N,0.203,0.18,,,4.78
114136,테리키친,,성북구,안심식당(2021),4.3914436,N,0.253,0.33,,,4.78
13142,리밍,,서초구,모범음식점(2003),4.3065635,N,0.31,0.33,,,4.77
56486,오늘도고기,,광진구,안심식당(2020),4.5030309,N,0.277,0.33,,,4.77
82111,카페드발렌느,,관악구,블루리본(2021),4.19097,Y,0.234,0.33,,,4.77
102867,합정고깃집,,마포구,안심식당(2020),4.3976748,N,0.282,0.33,,,4.77
119119,카페천국,교대점,서초구,안심식당(2020),4.2732781,N,0.167,0.33,,,4.77
12677,페르시안궁전,,종로구,"모범음식점(2012),안심식당(2020)",4.3550075,N,0.329,0.33,5,,4.76
13131,차이몬스터,,은평구,"모범음식점(2019),안심식당(2020)",4.2126087,N,0.3,0.33,,,4.76
87959,오유미당,노량진점,동작구,안심식당(2021),4.3647808,N,0.269,0.33,,,4.76
114653,제이의 정원,,서초구,안심식당(2020),4.3526276,Y,0.299,0.33,,,4.76
648613,브이아이피 참치,서소문점,중구,모범음식점(2008),4.2467482,N,0.262,0.33,,,4.76
13283,골드참치,방이점,송파구,모범음식점(2015),4.3201414,N,0.246,0.33,,,4.75
14504,백선부대 솥삼겹,먹골점,중랑구,모범음식점(2013),4.3044887,N,0.279,0.33,,,4.75
93741,매거진 스탠딩,,서대문구,안심식당(2020),4.4149215,N,0.184,0.33,,,4.75
95052,레트로오븐,,강남구,블루리본(2021),4.2228506,Y,0.283,0.33,,,4.75
100654,소설옥,금남시장점,성동구,모범음식점(2021),4.4555331,N,0.253,0.33,,,4.75
101479,더막창스,,서초구,안심식당(2020),4.6828082,N,0.314,0.33,5,,4.75
133810,응암생고기전문,,은평구,안심식당(2020),1.0501897,N,0.216,,,,4.75
778086,금성관나주곰탕,구로디지털점,구로구,모범음식점(2021),0.6689872,N,0.17,,,,4.75
10035,지화자,청운점,종로구,블루리본(2021),4.5751827,N,0.324,0.59,5,4.6,4.74
13193,칠프로 칠백식당,포스코점,강남구,모범음식점(2019),4.4051702,Y,0.346,0.33,,,4.74
13476,홍농숯불갈비,,양천구,모범음식점(2002),4.4292297,N,0.338,0.33,,,4.74
14791,향촌숯불돈갈비,,구로구,모범음식점(2018),3.9816239,Y,0.473,0.06,,,4.74
15025,양대리 갯벌,,은평구,모범음식점(2009),4.373199,N,0.329,0.33,,,4.74
44087,라망시크레,,중구,"미쉐린 가이드(2021),미쉐린 가이드(2022),블루리본(2021)",4.3876745,N,0.276,0.33,4.5,,4.74
62385,비금도,청담점,강남구,블루리본(2021),4.2057142,N,0.217,0.22,,,4.74
64537,혜리여수돌산갓김치,광진구2호점,광진구,안심식당(2020),1.0501897,N,0.216,,,,4.74
90239,블로트커피,,마포구,블루리본(2021),4.3912639,N,0.234,0.33,,,4.74
93760,산띠,서교점,마포구,블루리본(2021),4.092388,N,0.253,0.33,3.5,,4.74
117370,육갑식당,,서초구,안심식당(2020),4.37774,N,0.267,0.33,,,4.74
124420,라그랑자트,,강남구,블루리본(2021),4.1948092,Y,0.234,0.33,,,4.74
14090,장수갈비,,강북구,모범음식점(2010),4.2351773,N,0.249,0.09,,,4.73
98580,황태보감앤왕코다리 참 잘하는집,,강서구,안심식당(2021),4.6377924,Y,0.273,0.33,,,4.73
114534,팔각도,본점,양천구,안심식당(2020),4.4575742,N,0.269,0.33,,,4.73
119949,유미분,,서초구,안심식당(2021),4.4038316,N,0.219,0.33,,,4.73
803000,서울밤,,용산구,모범음식점(2018),3.7202464,N,0.217,,,,4.73
13059,진미한우곱창,,송파구,모범음식점(2013),3.989717,Y,0.329,0.07,,,4.72
14775,용산화로,,용산구,모범음식점(2010),4.1593441,N,0.316,0.33,,,4.72
15115,베나레스,본점,성북구,모범음식점(2010),4.3956871,N,0.25,0.33,4,,4.72
54712,페스타마레,건대본점,광진구,안심식당(2020),4.105728,N,0.203,0.33,4.5,,4.72
94174,타쯔,,서초구,안심식당(2020),4.1485771,Y,0.283,0.21,,,4.72
103500,커피상점이심,,마포구,블루리본(2021),4.19097,Y,0.234,0.33,,,4.72
106018,훈고링고브레드,,마포구,블루리본(2021),4.2203228,Y,0.184,0.33,,,4.72
118028,카페누모,,서초구,안심식당(2020),4.458648,N,0.291,0.2,,,4.72
121910,필로,,마포구,블루리본(2021),4.4823248,N,0.232,0.33,,,4.72
13431,한울갈비,,동작구,"모범음식점(2019),안심식당(2020)",4.2491315,N,0.279,0.33,,,4.71
15343,정가네민물장어와고깃집,,중랑구,모범음식점(2011),0.7587312,N,0.263,,,,4.71
42387,디어와일드,,중구,"미쉐린 가이드(2021),미쉐린 가이드(2022)",4.3742244,N,0.306,0.33,,,4.71
98838,선화의 고기,방배본점,서초구,안심식당(2021),4.5008105,N,0.306,0.33,,,4.71
99904,현명식탁,,서대문구,안심식당(2021),4.4133399,N,0.232,0.33,,,4.71
106720,육갑식당,잠원직영점,서초구,안심식당(2020),4.4946802,N,0.266,0.33,,,4.71
114732,JW 메리어트 호텔 서울 카페 원,,서초구,안심식당(2020),4.4588412,N,0.306,0.33,,,4.71
117175,퀜치커피,,마포구,블루리본(2021),4.2517471,Y,0.25,0.33,,,4.71
117945,뽈뽀,,서초구,블루리본(2021),4.1590025,N,0.201,0.09,,,4.71
126783,셰누,,용산구,미쉐린 가이드(2022),4.3241674,N,0.202,0.17,,,4.71
127867,크라운돼지,,강남구,블루리본(2021),4.2651385,Y,0.28,0.33,,,4.71
829494,아름다운차박물관,,종로구,블루리본(2021),1.0286598,N,0.216,,4,,4.71
12510,참복집,,중구,모범음식점(2012),4.2261502,N,0.283,0.33,,,4.7
12761,정목누룽지 백숙,,송파구,모범음식점(2009),4.3364396,N,0.312,0.33,,,4.7
13255,뉴욕바닷가재,청담본점,강남구,모범음식점(2010),4.5220688,N,0.3,0.33,3,,4.7
13734,풍천민물장어,,송파구,모범음식점(2010),4.2578406,N,0.264,0.18,,,4.7
14245,푸드캐피탈,롯데월드 잠실점,송파구,모범음식점(2016),3.773019,N,0.263,0.01,,,4.7
56282,황금돼지,,광진구,안심식당(2020),4.3560892,N,0.291,0.33,,,4.7
82850,정숙성,,관악구,모범음식점(2021),4.1120615,N,0.235,0.33,,,4.7
85112,오비스트로,,구로구,안심식당(2020),4.4754914,N,0.253,0.33,,,4.7
94810,미소그릴,남가좌점,서대문구,안심식당(2020),4.5650794,N,0.291,0.33,,,4.7
106305,흑산도 홍어,,서초구,블루리본(2021),4.3536195,N,0.217,0.33,,,4.7
110459,쿠오레 에스프레소,,서초구,안심식당(2020),4.3687936,N,0.282,0.33,,,4.7
126009,한국술집안씨막걸리,,용산구,"미쉐린 가이드(2021),미쉐린 가이드(2022),블루리본(2021)",4.076911,N,0.297,0.33,5,,4.7
126723,임프레션,,강남구,"미쉐린 가이드(2021),블루리본(2021)",4.4446836,Y,0.234,0.33,,,4.7
127190,디템포레,,용산구,미쉐린 가이드(2022),4.5518414,N,0.266,0.33,,,4.7
163553,키즈나,,종로구,블루리본(2021),4.2654377,N,0.217,0.33,,,4.7
165359,진주육회,3호점,종로구,안심식당(2020),4.2300538,N,0.252,0.33,,,4.7
10024,엔그릴,N서울타워점,용산구,모범음식점(2007),0.6689872,N,0.167,,,,4.69
12723,육갑식당,논현직영점,강남구,모범음식점(2014),4.2634675,Y,0.441,0.33,,,4.69
12828,수락해신탕,,노원구,모범음식점(2015),4.1990253,N,0.249,0.31,,,4.69
13978,셰프테이너,,용산구,"모범음식점(2001),블루리본(2021)",4.3675485,N,0.329,0.33,,,4.69
14181,강천민물장어,,강동구,"모범음식점(2010),안심식당(2020)",4.4427665,Y,0.346,0.33,,,4.69
14384,청담갯벌장어,,강남구,모범음식점(2016),4.2784818,N,0.246,0.33,,,4.69
14814,청춘갈비,건대직영점,광진구,모범음식점(2013),4.3883242,N,0.316,0.33,,,4.69
15316,설화,,노원구,모범음식점(2020),4.0232539,N,0.279,0.33,,,4.69
64283,다독이네 숯불구이,2호점,동작구,모범음식점(2021),4.365536,N,0.234,0.33,,,4.69
73245,담쟁이,,동작구,안심식당(2021),4.0272434,N,0.216,0.02,,,4.69
76949,햇살힐링식당,본점,도봉구,안심식당(2020),4.3875502,N,0.262,0.33,,,4.69
98935,오유미당,마곡점,강서구,안심식당(2021),4.4102872,Y,0.23,0.33,,,4.69
101393,파씨오네,,강남구,"미쉐린 가이드(2021),미쉐린 가이드(2022),블루리본(2021)",4.2930632,Y,0.281,0.33,,,4.69
125960,바마셀,,용산구,블루리본(2021),4.2363404,N,0.217,0.33,,,4.69
10757,워킹온더클라우드,,영등포구,"모범음식점(2004),블루리본(2021),안심식당(2020)",4.4540075,N,0.551,0.8,4,4.3,4.68
12637,교담집,,양천구,"모범음식점(2005),안심식당(2020)",4.3984894,N,0.329,0.33,,,4.68
12843,태풍참치,,강서구,"모범음식점(2018),안심식당(2020)",4.2826797,N,0.312,0.33,,,4.68
13236,황토골,,서대문구,모범음식점(2008),4.1269616,N,0.261,0.02,,,4.68
15093,신안촌,본점,종로구,"모범음식점(2018),안심식당(2020)",4.5425998,N,0.345,0.33,,,4.68
15294,"오, 심숙이 쭈삼낙",가락직영점,송파구,모범음식점(2018),4.2475283,N,0.329,0.33,,,4.68
64414,연풍민락,천호점,강동구,안심식당(2020),4.2238793,N,0.232,0.33,,,4.68
87999,구스토리아,,동작구,모범음식점(2021),4.4365635,N,0.252,0.1,,,4.68
89245,마초쉐프,건대점,광진구,안심식당(2020),4.4913213,N,0.243,0.33,,,4.68
104669,야키토리묵,,마포구,"미쉐린 가이드(2021),미쉐린 가이드(2022)",4.3826773,N,0.268,0.33,,,4.68
115308,와일드플라워,,서초구,안심식당(2020),4.5262521,N,0.277,0.33,,,4.68
121116,스시인,,강남구,블루리본(2021),4.2776527,Y,0.234,0.33,,,4.68
132527,시민식당,본점,종로구,안심식당(2020),4.4974344,N,0.269,0.33,,,4.68
134563,해까득,응암동점,은평구,안심식당(2020),4.4515507,N,0.246,0.12,,,4.68
10755,슈치쿠,,영등포구,"모범음식점(2004),블루리본(2021),안심식당(2020)",4.3224182,N,0.518,0.38,5,,4.67
12411,호보식당,역삼본점,강남구,모범음식점(2016),4.2037961,N,0.029,,,,4.67
12776,봉래헌,,강서구,"모범음식점(2016),블루리본(2021),안심식당(2020)",4.3070801,N,0.31,0.34,,5,4.67
12986,제주탐하리,,금천구,모범음식점(2015),4.396977,N,0.353,0.33,,,4.67
13039,누엣골 주막,롯데월드점,송파구,모범음식점(2020),4.2037564,N,0.303,0.2,,,4.67
13122,초승달,,용산구,모범음식점(2015),4.0635146,N,0.329,0.33,,,4.67
14492,유메정통일식,,송파구,모범음식점(2018),4.105042,N,0.328,0.06,,,4.67
14493,한락원,,송파구,모범음식점(2019),4.3469203,N,0.279,0.26,,,4.67
43598,플로팅,,중구,블루리본(2021),3.7853808,N,0.267,0.28,,,4.67
80640,막걸리바 막이오름,샤로수길점,관악구,안심식당(2020),4.2548737,N,0.217,0.1,,,4.67
87962,냅다청양집,노량진점,동작구,안심식당(2021),4.3500058,N,0.269,0.33,,,4.67
92846,서울초밥,,광진구,안심식당(2020),4.1963896,Y,0.253,0.22,,,4.67
107690,흑도담,성북구청점,성북구,안심식당(2021),4.3657139,N,0.203,0.18,,,4.67
108749,권숙수,,강남구,"미쉐린 가이드(2021),미쉐린 가이드(2022),블루리본(2021)",4.2249079,N,0.251,0.33,,,4.67
127716,홍신애솔트,2호점,강남구,블루리본(2021),4.2115776,Y,0.299,0.33,,,4.67
128841,알고리즘,,강남구,미쉐린 가이드(2022),4.0210963,N,0.17,0.03,,,4.67
155088,초록초록,,종로구,안심식당(2021),4.3127348,N,0.237,0.27,,,4.67
168237,에노테카 친친,,종로구,블루리본(2021),4.2031232,N,0.217,0.33,,,4.67
12360,스윗밸런스,광화문점,종로구,"모범음식점(2021),안심식당(2020)",4.1764373,N,0.303,0.33,,,4.66
12526,화기애애,강남1호점,강남구,모범음식점(2010),4.4223335,N,0.3,0.33,,,4.66
42692,피에르사니에르서울,,중구,"미쉐린 가이드(2021),미쉐린 가이드(2022),블루리본(2021)",4.2347562,N,0.251,0.33,,,4.66
88346,우월소곱창,,구로구,안심식당(2021),4.4237181,N,0.29,0.33,,,4.66
92688,램스야,,광진구,안심식당(2020),4.1196861,N,0.282,0.33,5,,4.66
95684,쟈르뎅페르뒤,,강남구,블루리본(2021),4.368041,Y,0.299,0.33,,,4.66
96716,더담,,마포구,블루리본(2021),4.407969,Y,0.286,0.33,,,4.66
102086,줄리에뜨,,서초구,블루리본(2021),4.3220371,N,0.236,0.33,,,4.66
107241,스시만,,서초구,블루리본(2021),4.3836841,N,0.267,0.33,,,4.66
111262,목금,,성동구,모범음식점(2021),4.4434687,N,0.234,0.33,,,4.66
112089,익스퀴진,,강남구,"미쉐린 가이드(2021),미쉐린 가이드(2022),블루리본(2021)",4.2536849,N,0.268,0.33,5,,4.66
113492,우주,,서초구,안심식당(2020),4.2403309,Y,0.284,0.32,4.5,,4.66
113599,리이케커피,,성북구,블루리본(2021),4.2782926,Y,0.234,0.33,,,4.66
124270,모수,,용산구,"미쉐린 가이드(2021),미쉐린 가이드(2022),블루리본(2021)",4.178191,Y,0.284,0.33,5,,4.66
126395,한강동,,용산구,모범음식점(2021),4.4038316,N,0.234,0.33,,,4.66
143406,맛깔참죽,증산역점,은평구,안심식당(2020),4.4852805,N,0.273,0.08,,,4.66
166145,고블린 피자,,종로구,안심식당(2021),4.4204362,N,0.208,0.33,,,4.66
12623,루위,,강남구,모범음식점(2010),4.4426913,N,0.329,0.33,,,4.65
13246,왕십리연탄집,,성동구,모범음식점(2019),4.2058295,N,0.313,0.33,,,4.65
14343,영변,,서초구,모범음식점(2003),4.1163835,Y,0.281,0.33,,,4.65
14483,삽교원조 두리곱창,,성북구,모범음식점(2010),4.2732817,N,0.283,0.33,,,4.65
14687,스시엠,,성북구,모범음식점(2019),4.0168292,N,0.214,0.33,,,4.65
14987,고기마을 호수,,금천구,모범음식점(2011),3.7179085,N,0.263,0.13,,,4.65
42326,페스타 바이 민구,,중구,"미쉐린 가이드(2021),미쉐린 가이드(2022),블루리본(2021)",4.3948348,N,0.297,0.33,,,4.65
96499,스위트 에삐,,강남구,블루리본(2021),4.2970219,Y,0.234,0.33,,,4.65
