식당명,지역명,네이버평점
제일식당,동대문구,5
바니양념통닭,동대문구,5
목포식당,동대문구,5
동원다방,동대문구,5
빈대떡왕대포,동대문구,5
또와주오 포차,동대문구,5
신화식당,동대문구,5
경류한정식,동대문구,5
휘경아뜰리에,동대문구,5
젠,동대문구,5
팔당닭발,동대문구,5
원조짜장우동,동대문구,5
우정식당,동대문구,5
자매집,동대문구,5
더블유,동대문구,5
제주식당,동대문구,5
풍천장어,동대문구,5
전주집,동대문구,5
싼타나,동대문구,5
옹달샘호프,동대문구,5
이모네포장마차,동대문구,5
고향식당,동대문구,5
석우동·우렁식당,동대문구,5
로코모,동대문구,5
오스카,동대문구,5
버담소리,동대문구,5
쉬,동대문구,5
후분포차식당,동대문구,5
오케이밥집,동대문구,5
파스타&떡볶이,동대문구,5
시티칸치킨호프,동대문구,5
고을집,동대문구,5
거송포차,동대문구,5
하늘정,동대문구,5
1971바,동대문구,5
여울목,동대문구,5
예스 투엔디,동대문구,5
웰빙호프,동대문구,5
핫스타쭈꾸미,동대문구,5
할매칼국수,동대문구,5
버거플라이,동대문구,5
코끼리비어,동대문구,5
미송닭한마리,동대문구,5
한신,동대문구,5
별이와달마차,동대문구,5
민트레빗,동대문구,5
마산집,동대문구,5
쭌이네포차,동대문구,5
또와 양꼬치 샤브샤브,동대문구,5
첨밀밀,동대문구,5
에스바,동대문구,5
슈퍼88포차,동대문구,5
꼬마꼬치,동대문구,5
새작골회관,동대문구,5
카페에이투,동대문구,5
더잇다,동대문구,5
천하식당,동대문구,5
이모네밥집,동대문구,5
써니포차,동대문구,5
스테이크포미,동대문구,5
저스트비,동대문구,5
히로식당,동대문구,5
휴카페,동대문구,5
그레이스,동대문구,5
청마루 포차,동대문구,5
고향식당,동대문구,5
쉐궈라오,동대문구,5
이문동떡볶이,동대문구,5
진이푸드,동대문구,5
달떡볶이,동대문구,5
우주닭,동대문구,5
쏘맥치기,동대문구,5
스시도모,동대문구,5
육회챱챱&딱새우,동대문구,5
뜨락,동대문구,5
보글보글,동대문구,5
김밥에빠지다,동대문구,5
마코토키친,동대문구,5
꼬불이곱창,동대문구,5
배떡,동대문구,5
도눔솔리스,동대문구,5
영웅전,동대문구,5
왕대포,동대문구,5
라라의디저트,동대문구,5
아우프글렛,동대문구,5
나누미 떡볶이,동대문구,5
곰돌이육회연어,동대문구,5
갈매동 뮤직 퍼포먼스,동대문구,5
정호프,동대문구,5
미스터보쌈앤스탠딩스테이크장안동점,동대문구,5
제주육돈가,동대문구,4.99
통나무식당,동대문구,4.96
별미감자탕,동대문구,4.95
스타삼겹살 특급한돈,동대문구,4.95
스윗오브유,동대문구,4.93
부일포차,동대문구,4.93
뵈르마지,동대문구,4.93
웍곱창,동대문구,4.92
허부자꽈배기,동대문구,4.92
베르도네,동대문구,4.92
스택레이어커피,동대문구,4.92
전농포차,동대문구,4.92
동심,동대문구,4.91
일가 면사랑,동대문구,4.91
가고파식당,동대문구,4.9
거거다황먼지,동대문구,4.9
엔토츠야,동대문구,4.9
골목스토리,동대문구,4.9
카페리예몬,동대문구,4.9
커피이야기,동대문구,4.89
자루군,동대문구,4.89
희희키친,동대문구,4.89
제일갈비등심,동대문구,4.88
새벽항구,동대문구,4.88
봉순비어,동대문구,4.88
모녀칼국수,동대문구,4.88
자연밥상,동대문구,4.88
일초닭발,동대문구,4.88
소통,동대문구,4.88
명동이발관,동대문구,4.87
사미커피,동대문구,4.87
카페트위그,동대문구,4.87
윤가네식당,동대문구,4.86
그릭데이,동대문구,4.86
메모아르,동대문구,4.86
답십리곱창,동대문구,4.85
장터순대,동대문구,4.84
바르다펫,동대문구,4.84
비바라비다,동대문구,4.84
아이지엔빙,동대문구,4.83
레이디바,동대문구,4.83
카페드림,동대문구,4.83
미밀케이크,동대문구,4.83
청춘고추,동대문구,4.83
마마포차,동대문구,4.83
신가네동춘찜닭,동대문구,4.83
1인분전문밥도둑술도둑,동대문구,4.83
버터 웨이브,동대문구,4.83
후니콩댕이콩,동대문구,4.83
메이크샐러드,동대문구,4.82
