식당명,지역명,네이버평점
젠바,마포구,5
서울가든호텔 카페1883,마포구,5
마당호프,마포구,5
묵을래,마포구,5
로뎀식당,마포구,5
금성,마포구,5
아일랜드바,마포구,5
청석골,마포구,5
리멤버,마포구,5
카페에스파냐,마포구,5
코케인,마포구,5
안,마포구,5
미스터릴라,마포구,5
작은나무협동조합,마포구,5
투비,마포구,5
아우라(AURA),마포구,5
재머스,마포구,5
만남식당,마포구,5
하루뮤직바,마포구,5
아이엠씨카페,마포구,5
규장,마포구,5
핫썬 라이스&치킨,마포구,5
제이엠티푸드,마포구,5
랩1,마포구,5
일본라멘 무메이,마포구,5
하유다,마포구,5
허니빙스&호두사랑,마포구,5
에이스타,마포구,5
펍수니스,마포구,5
타일,마포구,5
메모리,마포구,5
이루분식,마포구,5
민정이네포차,마포구,5
카테고리 나인,마포구,5
타임코스모스,마포구,5
어텐션,마포구,5
마가렡,마포구,5
디어온리,마포구,5
동신커피앤호프,마포구,5
치킹맨,마포구,5
시즈닝 원테이블레스토랑,마포구,5
으네네 포차,마포구,5
"그래, 좋아",마포구,5
브라더스테이크,마포구,5
굿나이스파인케이크샵,마포구,5
뜨개쟁이 카페,마포구,5
서해 산장,마포구,5
관각,마포구,5
카페오래,마포구,5
청담밥상,마포구,5
마음이 약해서,마포구,5
하울 인 더 바,마포구,5
스페이스 홍,마포구,5
다이브 베이비,마포구,5
더트리,마포구,5
나카지마 토라에몽,마포구,5
누벨당스,마포구,5
캔야커피,마포구,5
바람,마포구,5
은진이네,마포구,5
우미집 1947,마포구,5
밀림,마포구,5
삼겹본능 흥부찜닭,마포구,5
왈츠,마포구,5
삼원 사천요리 전문점,마포구,5
33돈까스 상암본점&일본식카레,마포구,5
바안단테,마포구,5
윤달,마포구,5
에이든,마포구,5
장슨빌,마포구,5
고래갈비,마포구,5
금호동 매운닭발,마포구,5
명월문샤인,마포구,5
앤티도트,마포구,5
언더그라운드,마포구,5
리얼푸드,마포구,5
코지포지,마포구,5
룰루랄라카페,마포구,5
힉스,마포구,5
달세뇨,마포구,5
서울진,마포구,5
에스프레소바 슈가,마포구,5
올드타운,마포구,5
요거트풀,마포구,5
카페몰리,마포구,5
작은나무,마포구,5
부산빨간어묵포차,마포구,5
숨,마포구,5
달콤한가,마포구,4.99
오스테리아 리오,마포구,4.99
카페 앰핑,마포구,4.98
닭발상점,마포구,4.98
인생건어물,마포구,4.98
커츠,마포구,4.97
율곡,마포구,4.97
메종브리크,마포구,4.97
동부숯불갈비,마포구,4.96
포커팩토리,마포구,4.96
레스토랑오브편,마포구,4.96
라프하우스,마포구,4.96
작가식당,마포구,4.95
커피그리고,마포구,4.95
텐트서울,마포구,4.95
공작,마포구,4.95
밤,마포구,4.95
공간 비선형,마포구,4.95
27바,마포구,4.95
스파다,마포구,4.95
웨이아웃,마포구,4.95
니꾸킹 버거,마포구,4.94
윤해빛찬,마포구,4.94
깔모누아,마포구,4.94
카페 범고래,마포구,4.94
리틀케이브,마포구,4.94
르 규옹,마포구,4.94
홍대신기루,마포구,4.94
요기요거,마포구,4.94
익스큐즈미 오스테리아,마포구,4.94
미티,마포구,4.93
"예, 그리다",마포구,4.93
동근이숯불두마리치킨,마포구,4.93
코드 396-4,마포구,4.93
도마 착한 돈까스,마포구,4.93
아워스,마포구,4.93
쮸카롱,마포구,4.93
메리고라운드,마포구,4.93
남고집,마포구,4.92
잇다프로젝트,마포구,4.92
유익상스시,마포구,4.92
리틀빅,마포구,4.92
더 채리엇,마포구,4.92
오밀리미터,마포구,4.92
살롱드 낭만,마포구,4.92
서강상회,마포구,4.92
시호,마포구,4.92
제철,마포구,4.92
카리브사파리,마포구,4.92
돈까스포차,마포구,4.92
에드에드,마포구,4.92
미도리,마포구,4.92
윤슬,마포구,4.92
카페 새록,마포구,4.92
오로라,마포구,4.92
아필립,마포구,4.91
이목,마포구,4.91
루바토와인,마포구,4.91
콘티키빠,마포구,4.91
화미가,마포구,4.91
영등포 여로집,마포구,4.91
팜팜발리,마포구,4.91
육지,마포구,4.91
정현식당,마포구,4.9
브루하임,마포구,4.9
잔다리김밥,마포구,4.9
아마,마포구,4.9
박쉡,마포구,4.9
단비,마포구,4.9
엠프티플레이트,마포구,4.9
카페27도씨,마포구,4.9
스시토와,마포구,4.9
온더페리,마포구,4.9
국민낙곱새,마포구,4.9
올리앤로렌스,마포구,4.89
란콰이진,마포구,4.89
이플로네의 하루,마포구,4.89
콜로라도 프로젝트,마포구,4.89
스프링비스트로,마포구,4.89
아술아반상회,마포구,4.89
팔팔구일 프로젝트,마포구,4.89
미장플라쎄,마포구,4.89
프리즘연남,마포구,4.89
비닐,마포구,4.88
채널1969,마포구,4.88
망원동고기집,마포구,4.88
방랑,마포구,4.88
비스트로 가마,마포구,4.88
바우,마포구,4.88
아카사니,마포구,4.88
럭키 니키 케이키,마포구,4.88
제이미90,마포구,4.88
미친포차,마포구,4.88
썬키친,마포구,4.88
이뮤 베이크샵,마포구,4.88
미미베이커리,마포구,4.88
심야식당 오밤중,마포구,4.88
어리라운지,마포구,4.88
문희,마포구,4.87
호두커피,마포구,4.87
톨테일,마포구,4.87
킥,마포구,4.87
옥탑문,마포구,4.87
본태스시,마포구,4.87
티노마드,마포구,4.87
청산별곱,마포구,4.87
카와카츠 오토코,마포구,4.87
헤이로라,마포구,4.87
샐러드식당,마포구,4.87
낮빛밤빛,마포구,4.87
제주간이회집,마포구,4.86
이가네 호프,마포구,4.86
펍차 아지트,마포구,4.86
상암동무진갈비,마포구,4.86
팔백팔호,마포구,4.86
청춘요리단,마포구,4.86
위위 라운지,마포구,4.86
육회로,마포구,4.86
그루브앤골드,마포구,4.86
락소울윙,마포구,4.86
아지트리,마포구,4.86
가우초,마포구,4.86
뽀빠이피자클럽,마포구,4.86
네즈,마포구,4.86
크리미무드,마포구,4.86
타프,마포구,4.86
꾸울과자점,마포구,4.86
발업,마포구,4.86
캐롤킹,마포구,4.85
삼영식당,마포구,4.85
커피꿈,마포구,4.85
주가미락,마포구,4.85
온블랙94,마포구,4.85
플레이트946,마포구,4.85
도끼네,마포구,4.85
수퍼바켓,마포구,4.85
밤 샷,마포구,4.85
마이퍼스트케이크,마포구,4.85
그랜마,마포구,4.85
힐스카페,마포구,4.85
가정옥,마포구,4.84
라라,마포구,4.84
바먼트,마포구,4.84
참바른김밥,마포구,4.84
샐러디,마포구,4.84
묘한식탁,마포구,4.84
연남고집,마포구,4.84
상수반주,마포구,4.84
포도알,마포구,4.84
앳커피,마포구,4.84
사케바 단단,마포구,4.84
만두란 챠오,마포구,4.84
프레쎄,마포구,4.84
나래분식,마포구,4.84
홍대프로간장새우,마포구,4.83
씽씽치킨,마포구,4.83
조이바,마포구,4.83
잘알지도못하면서,마포구,4.83
미래사랑식당,마포구,4.83
홍돈가,마포구,4.83
더나더나,마포구,4.83
아이엠어바텐더BAR,마포구,4.83
리우키친,마포구,4.83
더 키친 아시아 인도,마포구,4.83
줄라이식스틴,마포구,4.83
조용한저녁,마포구,4.83
카페 브라이터,마포구,4.83
구름속에커피집,마포구,4.83
홍옥,마포구,4.83
어퍼커피,마포구,4.83
멜팅글래스,마포구,4.83
소박한 이야기,마포구,4.83
디벨롭연남,마포구,4.83
아이엠티라미수,마포구,4.83
로스코지,마포구,4.83
깡패족발,마포구,4.83
의식주,마포구,4.83
마까뇨,마포구,4.83
부용포차,마포구,4.83
자바 카패 앤 펍,마포구,4.83
데드보이,마포구,4.83
음 세이로무시,마포구,4.83
미스터라멘,마포구,4.83
헤이주드바,마포구,4.82
꽃피는고기,마포구,4.82
빵앤뺑,마포구,4.82
벌스투,마포구,4.82
윤서울,마포구,4.82
인그레이,마포구,4.82
알디프 티바,마포구,4.82
어리,마포구,4.82
고찌,마포구,4.82
랑,마포구,4.82
해진뒤,마포구,4.82
더다믐,마포구,4.82
이븟,마포구,4.82
토메루,마포구,4.82
소쿠리 커피,마포구,4.82
지니 알탕,마포구,4.82
연남5701,마포구,4.82
올레 쭈꾸미,마포구,4.82
명옥양품,마포구,4.82
찐우,마포구,4.82
콘웰,마포구,4.82
카레성지,마포구,4.82
언브릭커피,마포구,4.82
어썸마운틴,마포구,4.82
이요이요,마포구,4.82
배가네 황소곱창,마포구,4.81
커피사피엔스,마포구,4.81
화규,마포구,4.81
치킨락,마포구,4.81
닭숲,마포구,4.81
넌메인스트리머스,마포구,4.81
커피력,마포구,4.81
렌테,마포구,4.81
키펜지카페,마포구,4.81
크림데이,마포구,4.81
번산셴,마포구,4.81
초연,마포구,4.81
에이셉,마포구,4.81
루나틱커피,마포구,4.81
유어 다이닝,마포구,4.81
"고로, 커피",마포구,4.81
선린스시,마포구,4.81
에브리데이해피벌스데이,마포구,4.81
노라,마포구,4.81
너프,마포구,4.81
캠핑시티,마포구,4.81
빠네돌체,마포구,4.81
무계획,마포구,4.81
돌황소곱창,마포구,4.8
그릭데이,마포구,4.8
지지호프,마포구,4.8
레아스톡샵,마포구,4.8
더배드저널,마포구,4.8
브렛피자,마포구,4.8
라르고살롱,마포구,4.8
탐키친,마포구,4.8
이인,마포구,4.8
빅타이니,마포구,4.8
런이트,마포구,4.8
마젠타,마포구,4.8
올바른 식당,마포구,4.8
정구지 뒷고기,마포구,4.8
오유아이,마포구,4.8
드빌로아제,마포구,4.8
스타게이즈,마포구,4.8
곰솥,마포구,4.8
웰빙김치찜,마포구,4.8
런이트,마포구,4.8
성미산 알루,마포구,4.79
심야식당밤,마포구,4.79
봄날,마포구,4.79
아틀란티스,마포구,4.79
화월,마포구,4.79
별의조각,마포구,4.79
미드나잇 플레져,마포구,4.79
23플래터,마포구,4.79
웰컴투더헬,마포구,4.79
형제한우곱창,마포구,4.79
태힐리아,마포구,4.79
로맨틱치즈봉봉,마포구,4.79
어쩌다와인,마포구,4.79
바람길,마포구,4.79
아퀴노,마포구,4.79
피자비,마포구,4.79
갓포교,마포구,4.79
미르,마포구,4.79
열정타코,마포구,4.79
컴피,마포구,4.79
아비앙또,마포구,4.79
푸드/실방,마포구,4.79
