식당명,지역명,네이버평점
작은마을,서초구,5
우도,서초구,5
즉석강남떡볶이,서초구,5
쿡앤펍 플러스 보드게임 콘솔게임,서초구,5
03수제비칼국수,서초구,5
촌구석,서초구,5
본마을식당,서초구,5
산수정보신탕,서초구,5
피아체,서초구,5
버블버블,서초구,5
지비에프120,서초구,5
에스엠,서초구,5
콩사랑,서초구,5
다솜채,서초구,5
맛좋은식당,서초구,5
그린식당,서초구,5
메인스타디움,서초구,5
맛있는초대담은,서초구,5
오토카페커피,서초구,5
서초동연가,서초구,5
레코드196,서초구,5
말차하우스,서초구,5
슈퍼 사이즈 미,서초구,5
죠우참치,서초구,5
로스팅아카이브,서초구,5
놀이터옆집,서초구,5
셰프 김태홍,서초구,5
왕의꼬치,서초구,5
한식당,서초구,5
추가네수제피자,서초구,5
예술다방,서초구,5
터치카페,서초구,5
라이언위스키,서초구,5
샤브하우스,서초구,5
티롤매지,서초구,5
더 베이크,서초구,5
곱도리탕전문점,서초구,5
자스민 852,서초구,5
방배동 마삼순,서초구,5
셰프클라쓰,서초구,5
싱싱카페,서초구,5
케이커리 슈,서초구,5
유어마이커피 브루어스,서초구,5
리블리 케이크,서초구,5
커피가 머무르는 곳,서초구,5
언택트 카페 무,서초구,5
커피라보,서초구,5
칫쵸,서초구,5
플라우터리,서초구,5
몽구떼,서초구,5
스탠드 바이 8591,서초구,5
르몽블랑,서초구,5
아티티,서초구,5
맛있는초대담은,서초구,5
케이엠지엠,서초구,5
더벤티,서초구,5
칠프로칠백식당,서초구,4.99
오목집,서초구,4.97
라라퀴진,서초구,4.96
립프린츠,서초구,4.95
피오레버,서초구,4.95
볼로디노테,서초구,4.94
상석,서초구,4.94
카페루나,서초구,4.94
서초커피109,서초구,4.94
으랏차 주먹고기,서초구,4.93
예나 샌드위치,서초구,4.93
끌림,서초구,4.93
카페 참새방앗간,서초구,4.93
뽀또,서초구,4.93
킹덤,서초구,4.93
코우엔,서초구,4.92
돌체도노,서초구,4.92
산오징어,서초구,4.91
리플렉트커피 로스터스,서초구,4.91
로맨틱타임,서초구,4.91
우쿠,서초구,4.91
오리집,서초구,4.9
오늘한끼,서초구,4.9
황소양곱창,서초구,4.89
밥퍼유,서초구,4.89
아지트 45,서초구,4.89
핏제리아오 뉴코아아울렛,서초구,4.89
미라클포차,서초구,4.88
장어만,서초구,4.88
서퍼스 포케,서초구,4.88
담담,서초구,4.88
새퍼커피,서초구,4.88
살루드,서초구,4.88
"전통차,자연담은",서초구,4.87
미스콩 샌드커피,서초구,4.87
고스트요거트,서초구,4.86
아쿠아렐 드로잉카페,서초구,4.86
리라마카롱,서초구,4.86
완데이,서초구,4.86
오오사,서초구,4.86
브브브,서초구,4.86
르물랑,서초구,4.85
스타세일러커피,서초구,4.85
바베퐁차,서초구,4.85
예술,서초구,4.84
하루쿠마,서초구,4.84
쌍쎄흐,서초구,4.84
틈,서초구,4.83
회화나무 케이크,서초구,4.83
라이크잇커피앤북스,서초구,4.83
플로우,서초구,4.83
반티엔야오카오위,서초구,4.83
카페알레,서초구,4.83
그때 그집 춘천 숯불닭갈비,서초구,4.82
카루,서초구,4.82
잇츠 카페플러스,서초구,4.82
이가네 양꼬치,서초구,4.82
탐라도야지,서초구,4.81
타마유라,서초구,4.81
항방양육관,서초구,4.81
커피 그라운드,서초구,4.81
탐라도야지,서초구,4.81
술이터,서초구,4.81
까리따스 늘봄,서초구,4.8
사계절,서초구,4.8
오우치,서초구,4.8
더브라이언스,서초구,4.8
레어마카롱,서초구,4.8
올라,서초구,4.8
방배화로구이,서초구,4.8
패트릭스와플,서초구,4.8
구이어,서초구,4.8
플랫나인,서초구,4.8
파티시안,서초구,4.8
아조지 카페,서초구,4.8
쿠오코선술,서초구,4.79
아이 씨 유,서초구,4.79
칠프로칠백식당,서초구,4.79
스트리트 767,서초구,4.79
카페 림이티드,서초구,4.79
제이스비스트로,서초구,4.79
바로온쉐프,서초구,4.79
델라이 방배,서초구,4.79
업셋,서초구,4.79
센,서초구,4.79
우나기야,서초구,4.79
그레이트후카바,서초구,4.78
하이나,서초구,4.78
바론 카페,서초구,4.78
프레타,서초구,4.78
훈우영,서초구,4.78
리밍,서초구,4.77
테라스,서초구,4.77
한성양꼬치,서초구,4.77
앤디캔디솜사탕,서초구,4.77
포터블 로프트,서초구,4.77
휴락담,서초구,4.77
비지엠커피,서초구,4.77
화씨이육공,서초구,4.77
동물원,서초구,4.77
카페천국,서초구,4.77
교대전집,서초구,4.76
부에노스아이레스,서초구,4.76
브로스키친,서초구,4.76
장티크 베이커리,서초구,4.76
살롱드누아,서초구,4.76
제이의 정원,서초구,4.76
가르고뜨,서초구,4.76
방배동커피집,서초구,4.76
밀리멧 베이커리,서초구,4.76
커스텀커피,서초구,4.76
호화반점,서초구,4.75
준호프치킨,서초구,4.75
쿠시루,서초구,4.75
동덕식당,서초구,4.75
김봉남포차,서초구,4.75
워터프론트,서초구,4.75
더막창스,서초구,4.75
모랑,서초구,4.75
브이알카페,서초구,4.75
양마니푸드,서초구,4.75
원투투,서초구,4.75
디마르가리따,서초구,4.75
다선,서초구,4.75
자이로 bar,서초구,4.75
카페 무세띠,서초구,4.75
바베큐랩,서초구,4.75
아지토,서초구,4.75
서울덮밥,서초구,4.75
해피커피,서초구,4.75
둥지포차,서초구,4.75
화연제육,서초구,4.75
장호덕손만두,서초구,4.75
수프레모 커피공방,서초구,4.75
피자에미치다,서초구,4.75
세러데이즈,서초구,4.75
대림외식산업,서초구,4.75
하루한끼밥상,서초구,4.75
대포항상회,서초구,4.75
감격시대,서초구,4.74
로스팅까페,서초구,4.74
규스홈 레스토랑,서초구,4.74
도반,서초구,4.74
슌야 슈토,서초구,4.74
육갑식당,서초구,4.74
달달해,서초구,4.74
꾸꾸,서초구,4.74
방배동 심야식당,서초구,4.74
노스티모,서초구,4.74
토모,서초구,4.73
넷째네 양꼬치,서초구,4.73
비스트로모브,서초구,4.73
제주성산포바당,서초구,4.73
더백푸드트럭,서초구,4.73
윤,서초구,4.73
스펠,서초구,4.73
온기경,서초구,4.73
더브리제,서초구,4.73
흑산도 홍어,서초구,4.73
프로즌 푸푸,서초구,4.73
만랩커피,서초구,4.73
족쓰리,서초구,4.73
유미분,서초구,4.73
로꼬로꼬조개찜,서초구,4.72
교대 골목집,서초구,4.72
카페네이슨,서초구,4.72
미담,서초구,4.72
심야식당,서초구,4.72
타쯔,서초구,4.72
네네치킨,서초구,4.72
로야디,서초구,4.72
코지리틀,서초구,4.72
카페누모,서초구,4.72
케빈스보방배일링크랩,서초구,4.72
심야식당별관,서초구,4.72
선화의 고기,서초구,4.71
카페로뎀나무,서초구,4.71
터미날포차,서초구,4.71
육갑식당,서초구,4.71
서초동연가,서초구,4.71
오땅비어,서초구,4.71
서래마을 호두파이,서초구,4.71
대박감자탕,서초구,4.71
카페 오늘도 커피,서초구,4.71
JW 메리어트 호텔 서울 카페 원,서초구,4.71
어딕티브,서초구,4.71
칠프로칠백식당,서초구,4.71
뽈뽀,서초구,4.71
디어,서초구,4.71
케빈의집,서초구,4.71
