식당명,지역명,네이버평점
풀코스,성동구,5
충남식당,성동구,5
실비식당,성동구,5
무등산닭한마리,성동구,5
소점식당,성동구,5
진숙맛집,성동구,5
함흥순대국,성동구,5
달라는대로,성동구,5
송이식당,성동구,5
레벤호프,성동구,5
남원식당,성동구,5
체리,성동구,5
동원식당,성동구,5
행복한집,성동구,5
장수왕족발,성동구,5
화목육계장,성동구,5
도가원,성동구,5
한강커피숍,성동구,5
화랑직화구이,성동구,5
크다닭,성동구,5
사치로운,성동구,5
스튜디오 25,성동구,5
건배,성동구,5
밀물식당,성동구,5
호남곱창,성동구,5
텐페이지,성동구,5
써니야오빠왔다,성동구,5
에프이 26,성동구,5
마굿간연합,성동구,5
퍼블릭키친,성동구,5
닥엔돈스,성동구,5
스시모치,성동구,5
1997 바베큐,성동구,5
이가네얼큰이,성동구,5
에이셉피자,성동구,5
카페그라운드시소,성동구,5
무국적주점 거실,성동구,5
구스케이지,성동구,5
쏘심플,성동구,5
도가원,성동구,5
도가원,성동구,5
도가원,성동구,5
도가원,성동구,5
도가원,성동구,5
도가원,성동구,5
도가원,성동구,5
도가원,성동구,5
아르고보니,성동구,4.98
하이홀본,성동구,4.97
하이앤드라이,성동구,4.97
노우 노우 바운즈,성동구,4.95
밀버슈,성동구,4.95
얼룩,성동구,4.95
지하대피소,성동구,4.94
프로브,성동구,4.94
후프커피,성동구,4.94
작은카페,성동구,4.92
아우어쥬빌리,성동구,4.92
우오보파스타바,성동구,4.92
바즈,성동구,4.92
리타르단도,성동구,4.92
어커,성동구,4.92
야한생두,성동구,4.91
누아흐,성동구,4.91
김밥 어때,성동구,4.91
왕십리마마식당,성동구,4.9
연디저트,성동구,4.9
노무라,성동구,4.9
치즈포레스트,성동구,4.9
테이블 소사이어티 클럽,성동구,4.9
금호동 비원,성동구,4.9
레드브릭 스모크하우스,성동구,4.89
육회한인생,성동구,4.89
버니타운,성동구,4.89
전남해물탕,성동구,4.88
진국해장국,성동구,4.88
그린볼샐러드마켓,성동구,4.88
펑키플로어,성동구,4.88
188도깨비,성동구,4.88
블루리본,성동구,4.88
요쿨살론,성동구,4.88
창창커피,성동구,4.87
유스트레스,성동구,4.87
위스위츠,성동구,4.87
타로카페드뷔시산장,성동구,4.86
갱생,성동구,4.86
금남정,성동구,4.86
아끄떼 뚜,성동구,4.86
광년마라탕&샤브샤브,성동구,4.86
와인문화공간 성수,성동구,4.86
락지,성동구,4.86
풍미뼈해장국,성동구,4.86
201호,성동구,4.86
연어아저씨,성동구,4.86
돈구어,성동구,4.85
금성푸드 스토리,성동구,4.85
